Country,Code,Income_group,Year,Animal_calories,GDP,Population
Afghanistan,AFG,Low income,2015,,1928,33753500
Afghanistan,AFG,Low income,1840,,,3586362
Afghanistan,AFG,Low income,2016,,1929,34636212
Afghanistan,AFG,Low income,1860,,,3941745
Afghanistan,AFG,Low income,1932,,,6642004
Afghanistan,AFG,Low income,1600,,,2500001
Afghanistan,AFG,Low income,1964,1.941076871,1291,9355510
Afghanistan,AFG,Low income,1980,2.435835351,1019,12486640
Afghanistan,AFG,Low income,1981,2.550724638,1144,11155196
Afghanistan,AFG,Low income,800,,,2350008
Afghanistan,AFG,Low income,1999,3.917926566,518.657897949219,19262854
Afghanistan,AFG,Low income,1896,,,4714779
Afghanistan,AFG,Low income,1984,2.707993475,1337,10243689
Afghanistan,AFG,Low income,1837,,,3538656
Afghanistan,AFG,Low income,2006,2.295015259,1057.09655761719,25442946
Afghanistan,AFG,Low income,2004,2.714794103,869.039306640625,23553554
Afghanistan,AFG,Low income,1855,,,3844769
Afghanistan,AFG,Low income,1902,,,4935122
Afghanistan,AFG,Low income,1963,2.105263158,1298,9157463
Afghanistan,AFG,Low income,1890,,,4576341
Afghanistan,AFG,Low income,1818,,,3280000
Afghanistan,AFG,Low income,500,,,2500001
Afghanistan,AFG,Low income,1958,,1298,8333827
Afghanistan,AFG,Low income,1966,2.354402631,1272,9783153
Afghanistan,AFG,Low income,1832,,,3460553
Afghanistan,AFG,Low income,-4000,,,306250
Afghanistan,AFG,Low income,2005,2.673511294,964.408081054688,24411196
Afghanistan,AFG,Low income,1838,,,3554487
Afghanistan,AFG,Low income,1853,,,3806634
Afghanistan,AFG,Low income,1839,,,3570389
Afghanistan,AFG,Low income,2018,,1934.55505371094,36686788
Afghanistan,AFG,Low income,1500,,,1999997
Afghanistan,AFG,Low income,200,,,2500001
Afghanistan,AFG,Low income,1934,,,6642004
Afghanistan,AFG,Low income,1830,,,3429796
Afghanistan,AFG,Low income,600,,,2500001
Afghanistan,AFG,Low income,1982,2.627419355,1270,10088290
Afghanistan,AFG,Low income,1803,,,3280000
Afghanistan,AFG,Low income,1983,2.657686212,1347,9951447
Afghanistan,AFG,Low income,1835,,,3507205
Afghanistan,AFG,Low income,1857,,,3883276
Afghanistan,AFG,Low income,1834,,,3491585
Afghanistan,AFG,Low income,2003,2.794926004,842.80517578125,22645136
Afghanistan,AFG,Low income,1856,,,3863976
Afghanistan,AFG,Low income,1887,,,4508616
Afghanistan,AFG,Low income,1931,,,6715569
Afghanistan,AFG,Low income,300,,,2500001
Afghanistan,AFG,Low income,1935,,,6642004
Afghanistan,AFG,Low income,1831,,,3445140
Afghanistan,AFG,Low income,1965,2.02165088,1290,9565154
Afghanistan,AFG,Low income,1814,,,3280000
Afghanistan,AFG,Low income,1936,,,6642004
Afghanistan,AFG,Low income,1937,,,6642004
Afghanistan,AFG,Low income,1836,,,3522896
Afghanistan,AFG,Low income,1850,,,3752993
Afghanistan,AFG,Low income,1898,,,4761826
Afghanistan,AFG,Low income,1900,,,4832414
Afghanistan,AFG,Low income,1942,,,6848816
Afghanistan,AFG,Low income,2002,3.123767798,796.816589355469,21000258
Afghanistan,AFG,Low income,1991,3.178082192,881.17041015625,10745168
Afghanistan,AFG,Low income,400,,,2500001
Afghanistan,AFG,Low income,1816,,,3280000
Afghanistan,AFG,Low income,1997,3.622198506,570.598083496094,17788818
Afghanistan,AFG,Low income,1802,,,3280000
Afghanistan,AFG,Low income,1995,3.288503254,632.9404296875,16418911
Afghanistan,AFG,Low income,1833,,,3476034
Afghanistan,AFG,Low income,2001,2.549222798,489.682006835938,19688634
Afghanistan,AFG,Low income,-6000,,,54166
Afghanistan,AFG,Low income,-5000,,,74999
Afghanistan,AFG,Low income,1899,,,4793171
Afghanistan,AFG,Low income,1841,,,3602406
Afghanistan,AFG,Low income,0,,,1999997
Afghanistan,AFG,Low income,1962,1.84847446,1302,8969055
Afghanistan,AFG,Low income,1933,,,6642004
Afghanistan,AFG,Low income,1801,,,3280000
Afghanistan,AFG,Low income,1993,3.059685864,578.402709960938,14003764
Afghanistan,AFG,Low income,1891,,,4599136
Afghanistan,AFG,Low income,1892,,,4622041
Afghanistan,AFG,Low income,1998,3.722543353,545.038818359375,18493134
Afghanistan,AFG,Low income,1849,,,3734342
Afghanistan,AFG,Low income,1847,,,3700191
Afghanistan,AFG,Low income,1804,,,3280000
Afghanistan,AFG,Low income,1851,,,3769828
Afghanistan,AFG,Low income,1901,,,4879685
Afghanistan,AFG,Low income,-1000,,,999998
Afghanistan,AFG,Low income,1990,2.929991357,963,10694804
Afghanistan,AFG,Low income,1813,,,3280000
Afghanistan,AFG,Low income,1815,,,3280000
Afghanistan,AFG,Low income,1812,,,3280000
Afghanistan,AFG,Low income,1809,,,3280000
Afghanistan,AFG,Low income,1800,,,3280000
Afghanistan,AFG,Low income,1893,,,4645058
Afghanistan,AFG,Low income,1895,,,4691426
Afghanistan,AFG,Low income,-9000,,,20405
Afghanistan,AFG,Low income,-8000,,,28253
Afghanistan,AFG,Low income,1805,,,3280000
Afghanistan,AFG,Low income,1854,,,3825655
Afghanistan,AFG,Low income,-2000,,,768751
Afghanistan,AFG,Low income,100,,,2250002
Afghanistan,AFG,Low income,-10000,,,14737
Afghanistan,AFG,Low income,1992,3.160232681,843.875305175781,12057436
Afghanistan,AFG,Low income,1843,,,3634711
Afghanistan,AFG,Low income,1848,,,3716745
Afghanistan,AFG,Low income,1808,,,3280000
Afghanistan,AFG,Low income,1845,,,3667305
Afghanistan,AFG,Low income,1846,,,3683711
Afghanistan,AFG,Low income,1810,,,3280000
Afghanistan,AFG,Low income,-7000,,,39120
Afghanistan,AFG,Low income,1996,3.474769398,600.17529296875,17106600
Afghanistan,AFG,Low income,1852,,,3787706
Afghanistan,AFG,Low income,1897,,,4738246
Afghanistan,AFG,Low income,1994,3.298901099,428.424591064453,15455560
Afghanistan,AFG,Low income,1961,1.804601534,1309,8790140
Afghanistan,AFG,Low income,1811,,,3280000
Afghanistan,AFG,Low income,1842,,,3618522
Afghanistan,AFG,Low income,1940,,,6703416
Afghanistan,AFG,Low income,1939,,,6662371
Afghanistan,AFG,Low income,1844,,,3650971
Afghanistan,AFG,Low income,1807,,,3280000
Afghanistan,AFG,Low income,-3000,,,537500
Afghanistan,AFG,Low income,1894,,,4668186
Afghanistan,AFG,Low income,1941,,,6765457
Afghanistan,AFG,Low income,1938,,,6642004
Afghanistan,AFG,Low income,1806,,,3280000
Albania,ALB,Upper middle income,2021,,,2854710
Albania,ALB,Upper middle income,700,,,199799
Albania,ALB,Upper middle income,1981,3.285500747,3762,2992391
Albania,ALB,Upper middle income,1979,3.283467587,3716,2888764
Albania,ALB,Upper middle income,1974,3.117882919,3637,2585457
Albania,ALB,Upper middle income,1000,,,2e+05
Albania,ALB,Upper middle income,1976,2.943283582,3665,2713564
Albania,ALB,Upper middle income,2020,,,2866850
Albania,ALB,Upper middle income,1978,3.144663444,3696,2833317
Albania,ALB,Upper middle income,1904,,,841658
Albania,ALB,Upper middle income,800,,,2e+05
Albania,ALB,Upper middle income,1980,3.298921418,3741,2941650
Albania,ALB,Upper middle income,1973,3.167763158,3623,2520442
Albania,ALB,Upper middle income,-10000,,,1199
Albania,ALB,Upper middle income,900,,,2e+05
Albania,ALB,Upper middle income,2019,,,2873883
Albania,ALB,Upper middle income,1825,,,446929
Albania,ALB,Upper middle income,1949,,,1239906
Albania,ALB,Upper middle income,1972,3.113902848,3451,2455181
Albania,ALB,Upper middle income,1907,,,865024
Albania,ALB,Upper middle income,1958,,2114,1600986
Albania,ALB,Upper middle income,1908,,,872955
Albania,ALB,Upper middle income,1909,,,880526
Albania,ALB,Upper middle income,1975,3.090617482,3649,2650128
Albania,ALB,Upper middle income,1959,,2201,1655022
Albania,ALB,Upper middle income,1982,3.324324324,3783,3041188
Albania,ALB,Upper middle income,1957,,2023,1549575
Albania,ALB,Upper middle income,2018,,11104.166015625,2877019
Albania,ALB,Upper middle income,1821,,,438981
Albania,ALB,Upper middle income,1947,,,1206448
Albania,ALB,Upper middle income,1984,3.144432194,3826,3131731
Albania,ALB,Upper middle income,1960,,2313,1711189
Albania,ALB,Upper middle income,1905,,,849375
Albania,ALB,Upper middle income,2015,,10032,2882482
Albania,ALB,Upper middle income,2017,,10702.1201171875,2879361
Albania,ALB,Upper middle income,1823,,,442934
Albania,ALB,Upper middle income,1824,,,444927
Albania,ALB,Upper middle income,1977,2.865994236,3681,2774798
Albania,ALB,Upper middle income,1828,,,452988
Albania,ALB,Upper middle income,1956,,1902,1500625
Albania,ALB,Upper middle income,1829,,,455027
Albania,ALB,Upper middle income,1866,,,583532
Albania,ALB,Upper middle income,1983,3.18656183,3805,3087904
Albania,ALB,Upper middle income,1945,,,1177753
Albania,ALB,Upper middle income,1948,,,1221056
Albania,ALB,Upper middle income,1820,,,437026
Albania,ALB,Upper middle income,1901,,,818784
Albania,ALB,Upper middle income,1822,,,440950
Albania,ALB,Upper middle income,1871,,,612314
Albania,ALB,Upper middle income,1872,,,618209
Albania,ALB,Upper middle income,1906,,,857164
Albania,ALB,Upper middle income,1929,,1476,996604
Albania,ALB,Upper middle income,1827,,,450959
Albania,ALB,Upper middle income,1955,,1882,1453732
Albania,ALB,Upper middle income,1954,,1785,1409011
Albania,ALB,Upper middle income,1952,,1667,1326957
Albania,ALB,Upper middle income,1863,,,566882
Albania,ALB,Upper middle income,1865,,,577928
Albania,ALB,Upper middle income,1903,,,834010
Albania,ALB,Upper middle income,1832,,,461196
Albania,ALB,Upper middle income,1898,,,795445
Albania,ALB,Upper middle income,1897,,,787540
Albania,ALB,Upper middle income,1890,,953,734542
Albania,ALB,Upper middle income,1750,,,357083
Albania,ALB,Upper middle income,1874,,,630149
Albania,ALB,Upper middle income,1913,,1293,907070
Albania,ALB,Upper middle income,1911,,,894559
Albania,ALB,Upper middle income,1950,,1596,1252587
Albania,ALB,Upper middle income,1860,,,550706
Albania,ALB,Upper middle income,1100,,,2e+05
Albania,ALB,Upper middle income,1969,3.039933444,3080,2259797
Albania,ALB,Upper middle income,1864,,,572378
Albania,ALB,Upper middle income,1971,3.276271186,3322,2389820
Albania,ALB,Upper middle income,2014,,9808,2884100
Albania,ALB,Upper middle income,2016,,10342,2881064
Albania,ALB,Upper middle income,1987,3.25030036,3894,3237677
Albania,ALB,Upper middle income,600,,,199600
Albania,ALB,Upper middle income,1900,,1092,811069
Albania,ALB,Upper middle income,1991,4.149300156,2942.1005859375,3302087
Albania,ALB,Upper middle income,1992,4.22758101,2841.76513671875,3303738
Albania,ALB,Upper middle income,1942,,,1135986
Albania,ALB,Upper middle income,-9000,,,1999
Albania,ALB,Upper middle income,1994,4.903719152,3399.71020507812,3294001
Albania,ALB,Upper middle income,1953,,1736,1366747
Albania,ALB,Upper middle income,1946,,,1192014
Albania,ALB,Upper middle income,1831,,,459130
Albania,ALB,Upper middle income,1819,,,435086
Albania,ALB,Upper middle income,1899,,,803288
Albania,ALB,Upper middle income,1870,,711,606465
Albania,ALB,Upper middle income,1989,3.419229272,3948,3282187
Albania,ALB,Upper middle income,1990,3.724299065,3983,3295073
Albania,ALB,Upper middle income,1855,,,524764
Albania,ALB,Upper middle income,1858,,,540179
Albania,ALB,Upper middle income,1826,,,448940
Albania,ALB,Upper middle income,1941,,,1122787
Albania,ALB,Upper middle income,1943,,,1149741
Albania,ALB,Upper middle income,1944,,,1163663
Albania,ALB,Upper middle income,1830,,,457074
Albania,ALB,Upper middle income,1970,3.074120083,3194,2324733
Albania,ALB,Upper middle income,1300,,,2e+05
Albania,ALB,Upper middle income,1985,3.257699805,3846,3171727
Albania,ALB,Upper middle income,1869,,,600661
Albania,ALB,Upper middle income,1895,,,771964
Albania,ALB,Upper middle income,1857,,,534991
Albania,ALB,Upper middle income,1867,,,589190
Albania,ALB,Upper middle income,1868,,,594903
Albania,ALB,Upper middle income,1873,,,624151
Albania,ALB,Upper middle income,1861,,,556046
Albania,ALB,Upper middle income,1859,,,545417
Albania,ALB,Upper middle income,1951,,1666,1289175
Albania,ALB,Upper middle income,1966,3.201419698,2770,2070694
Albania,ALB,Upper middle income,1862,,,561438
Albania,ALB,Upper middle income,1818,,,433159
Albania,ALB,Upper middle income,500,,,199400
Albania,ALB,Upper middle income,2013,7.443783276,9660,2887019
Albania,ALB,Upper middle income,1720,,,322833
Albania,ALB,Upper middle income,1730,,,334250
Albania,ALB,Upper middle income,1835,,,467449
Albania,ALB,Upper middle income,1740,,,345666
Albania,ALB,Upper middle income,1923,,,964858
Albania,ALB,Upper middle income,1924,,,969914
Albania,ALB,Upper middle income,1875,,,636206
Albania,ALB,Upper middle income,1877,,,648493
Albania,ALB,Upper middle income,1968,3.125906957,2979,2195474
Albania,ALB,Upper middle income,-7000,,,5554
Albania,ALB,Upper middle income,1914,,,913173
Albania,ALB,Upper middle income,1912,,,901008
Albania,ALB,Upper middle income,1400,,,2e+05
Albania,ALB,Upper middle income,1896,,,779713
Albania,ALB,Upper middle income,1834,,,465356
Albania,ALB,Upper middle income,1500,,,2e+05
Albania,ALB,Upper middle income,1600,,,2e+05
Albania,ALB,Upper middle income,1940,,,1110133
Albania,ALB,Upper middle income,1965,3.187222715,2670,2009793
Albania,ALB,Upper middle income,1937,,,1075341
Albania,ALB,Upper middle income,1967,3.42882405,2876,2132447
Albania,ALB,Upper middle income,1837,,,471665
Albania,ALB,Upper middle income,2009,7.220848647,8859.4716796875,2930553
Albania,ALB,Upper middle income,1817,,,431248
Albania,ALB,Upper middle income,2011,7.268199234,9484,2900660
Albania,ALB,Upper middle income,2012,7.438442211,9592,2892191
Albania,ALB,Upper middle income,1986,2.935315985,3870,3207129
Albania,ALB,Upper middle income,1854,,,519724
Albania,ALB,Upper middle income,2002,6.252793296,5608.96240234375,3123554
Albania,ALB,Upper middle income,1932,,,1021616
Albania,ALB,Upper middle income,1988,3.32459522,3920,3263019
Albania,ALB,Upper middle income,1710,,,311416
Albania,ALB,Upper middle income,1910,,1243,887729
Albania,ALB,Upper middle income,1836,,,469552
Albania,ALB,Upper middle income,1938,,,1086421
Albania,ALB,Upper middle income,1993,4.257602862,3137.02392578125,3300715
Albania,ALB,Upper middle income,1200,,,2e+05
Albania,ALB,Upper middle income,-6000,,,9256
Albania,ALB,Upper middle income,-5000,,,15428
Albania,ALB,Upper middle income,1902,,,826432
Albania,ALB,Upper middle income,1833,,,463271
Albania,ALB,Upper middle income,1894,,,764292
Albania,ALB,Upper middle income,1917,,,931729
Albania,ALB,Upper middle income,1918,,,937735
Albania,ALB,Upper middle income,1935,,,1053520
Albania,ALB,Upper middle income,1921,,,954600
Albania,ALB,Upper middle income,1939,,,1098015
Albania,ALB,Upper middle income,1922,,,959829
Albania,ALB,Upper middle income,1815,,,427449
Albania,ALB,Upper middle income,1995,5.815237394,3666.65063476562,3284370
Albania,ALB,Upper middle income,1816,,,429344
Albania,ALB,Upper middle income,300,,,199001
Albania,ALB,Upper middle income,1915,,,919317
Albania,ALB,Upper middle income,1853,,,514733
Albania,ALB,Upper middle income,1916,,,925502
Albania,ALB,Upper middle income,1883,,,686798
Albania,ALB,Upper middle income,1843,,,484542
Albania,ALB,Upper middle income,1700,,,299999
Albania,ALB,Upper middle income,1962,3.31132917,2409,1828234
Albania,ALB,Upper middle income,1856,,,529853
Albania,ALB,Upper middle income,2006,7.061295972,7347.330078125,3003391
Albania,ALB,Upper middle income,1760,,,368499
Albania,ALB,Upper middle income,100,,,198604
Albania,ALB,Upper middle income,-8000,,,3332
Albania,ALB,Upper middle income,1879,,,661018
Albania,ALB,Upper middle income,400,,,199201
Albania,ALB,Upper middle income,1881,,,673785
Albania,ALB,Upper middle income,2001,5.863717446,5285.80908203125,3153615
Albania,ALB,Upper middle income,1882,,,680260
Albania,ALB,Upper middle income,1930,,,1003863
Albania,ALB,Upper middle income,1933,,,1032142
Albania,ALB,Upper middle income,1934,,,1042776
Albania,ALB,Upper middle income,1920,,,949173
Albania,ALB,Upper middle income,1961,3.395411606,2332,1769076
Albania,ALB,Upper middle income,1964,3.115418502,2576,1949020
Albania,ALB,Upper middle income,1876,,,642320
Albania,ALB,Upper middle income,1810,,,418099
Albania,ALB,Upper middle income,2010,7.322496749,9222.97265625,2913402
Albania,ALB,Upper middle income,1880,,,667371
Albania,ALB,Upper middle income,1852,,,509789
Albania,ALB,Upper middle income,1893,,,756696
Albania,ALB,Upper middle income,1997,5.337247706,3526.98559570312,3253721
Albania,ALB,Upper middle income,1802,,,403554
Albania,ALB,Upper middle income,1931,,,1012195
Albania,ALB,Upper middle income,1919,,,943550
Albania,ALB,Upper middle income,2005,6.800278358,6858.466796875,3032636
Albania,ALB,Upper middle income,1806,,,410758
Albania,ALB,Upper middle income,1811,,,419953
Albania,ALB,Upper middle income,1814,,,425563
Albania,ALB,Upper middle income,1770,,,379916
Albania,ALB,Upper middle income,1780,,,391333
Albania,ALB,Upper middle income,1851,,,505377
Albania,ALB,Upper middle income,1800,,,4e+05
Albania,ALB,Upper middle income,1801,,,401773
Albania,ALB,Upper middle income,1878,,,654726
Albania,ALB,Upper middle income,1925,,,974995
Albania,ALB,Upper middle income,1999,5.587415088,4432.04248046875,3208265
Albania,ALB,Upper middle income,1805,,,408945
Albania,ALB,Upper middle income,2004,6.862464183,6419.87060546875,3062629
Albania,ALB,Upper middle income,1804,,,407140
Albania,ALB,Upper middle income,1845,,,488912
Albania,ALB,Upper middle income,2007,7.018181818,7866.15771484375,2976089
Albania,ALB,Upper middle income,2008,7.233118426,8522.1298828125,2951690
Albania,ALB,Upper middle income,1849,,,498261
Albania,ALB,Upper middle income,1790,,,402750
Albania,ALB,Upper middle income,200,,,198803
Albania,ALB,Upper middle income,1892,,,749176
Albania,ALB,Upper middle income,1889,,,727425
Albania,ALB,Upper middle income,1812,,,421814
Albania,ALB,Upper middle income,1926,,,980104
Albania,ALB,Upper middle income,2000,5.689831748,4808.4794921875,3182027
Albania,ALB,Upper middle income,1840,,,478060
Albania,ALB,Upper middle income,1841,,,480211
Albania,ALB,Upper middle income,2003,6.789321789,6004.64501953125,3092993
Albania,ALB,Upper middle income,1846,,,491112
Albania,ALB,Upper middle income,1963,3.367346939,2491,1888302
Albania,ALB,Upper middle income,1813,,,423684
Albania,ALB,Upper middle income,1850,,,501490
Albania,ALB,Upper middle income,1891,,,741792
Albania,ALB,Upper middle income,1996,5.951459726,3965.68530273438,3271336
Albania,ALB,Upper middle income,1803,,,405343
Albania,ALB,Upper middle income,1847,,,493321
Albania,ALB,Upper middle income,1888,,,720439
Albania,ALB,Upper middle income,1927,,,985239
Albania,ALB,Upper middle income,-3000,,,42855
Albania,ALB,Upper middle income,1998,5.252110092,3873.37329101562,3232185
Albania,ALB,Upper middle income,1842,,,482372
Albania,ALB,Upper middle income,-4000,,,25713
Albania,ALB,Upper middle income,1887,,,713582
Albania,ALB,Upper middle income,1844,,,486722
Albania,ALB,Upper middle income,1838,,,473787
Albania,ALB,Upper middle income,1936,,,1064375
Albania,ALB,Upper middle income,1839,,,475919
Albania,ALB,Upper middle income,1809,,,416246
Albania,ALB,Upper middle income,1885,,,700062
Albania,ALB,Upper middle income,0,,,198405
Albania,ALB,Upper middle income,1928,,,990401
Albania,ALB,Upper middle income,1886,,,706789
Albania,ALB,Upper middle income,-1000,,,119043
Albania,ALB,Upper middle income,1884,,,693398
Albania,ALB,Upper middle income,1808,,,414408
Albania,ALB,Upper middle income,1807,,,412579
Albania,ALB,Upper middle income,-2000,,,71426
Albania,ALB,Upper middle income,1848,,,495541
Algeria,DZA,Lower middle income,1901,,,4727402
Algeria,DZA,Lower middle income,1902,,,4797767
Algeria,DZA,Lower middle income,1819,,,2678262
Algeria,DZA,Lower middle income,1815,,,2640486
Algeria,DZA,Lower middle income,1961,2.665843113,2868,11598615
Algeria,DZA,Lower middle income,1821,,,2692874
Algeria,DZA,Lower middle income,-6000,,,93289
Algeria,DZA,Lower middle income,1818,,,2669510
Algeria,DZA,Lower middle income,1814,,,2630882
Algeria,DZA,Lower middle income,-5000,,,155482
Algeria,DZA,Lower middle income,1963,1.947643979,2818,11969449
Algeria,DZA,Lower middle income,1937,,,7234349
Algeria,DZA,Lower middle income,1817,,,2659800
Algeria,DZA,Lower middle income,1899,,,4607453
Algeria,DZA,Lower middle income,1869,,,3427620
Algeria,DZA,Lower middle income,1962,2.317399618,2284,11778265
Algeria,DZA,Lower middle income,1936,,,7108623
Algeria,DZA,Lower middle income,1861,,,3166085
Algeria,DZA,Lower middle income,1829,,,2732999
Algeria,DZA,Lower middle income,1897,,,4514120
Algeria,DZA,Lower middle income,1900,,,4664019
Algeria,DZA,Lower middle income,1852,,,2895631
Algeria,DZA,Lower middle income,-1000,,,1199705
Algeria,DZA,Lower middle income,1939,,,7488450
Algeria,DZA,Lower middle income,1872,,,3531171
